customer_id,campaign_name,channel,budget,clicks,impressions
1,,radio,,259,many
2,Black Friday,tv,unknown,133,1000
3,,email,5000,314,-1
4,,radio,1000,562,1000
5,Black Friday,tv,100,976,5000
6,,print,500,671,many
7,,radio,5000,610,5000
8,Summer Promo,print,5000,256,10000
9,Black Friday,,unknown,921,
10,,radio,1000,752,-1
11,Spring Sale,print,100,935,-1
12,Spring Sale,radio,5000,700,10000
13,,social,5000,379,-1
14,,social,100,609,5000
15,Spring Sale,print,unknown,375,10000
16,,,unknown,624,many
17,,email,unknown,733,5000
18,,social,unknown,77,
19,,,,912,10000
20,,tv,1000,487,many
21,Summer Promo,social,5000,574,5000
22,Spring Sale,,500,101,5000
23,,tv,500,172,5000
24,Spring Sale,social,500,101,
25,Summer Promo,email,1000,862,10000
26,Summer Promo,,unknown,813,-1
27,Spring Sale,,100,352,1000
28,Black Friday,radio,,995,
29,Black Friday,social,-999,493,5000
30,,,-999,115,1000
31,,tv,5000,603,many
32,Spring Sale,social,500,105,10000
33,Summer Promo,social,5000,125,-1
34,Spring Sale,print,5000,792,many
35,,,unknown,917,10000
36,Summer Promo,tv,,894,1000
37,,,100,650,many
38,Summer Promo,radio,100,164,5000
39,,social,,734,5000
40,Spring Sale,radio,1000,453,10000
41,Summer Promo,social,1000,169,5000
42,Black Friday,tv,1000,984,
43,Black Friday,tv,1000,3,5000
44,Black Friday,radio,100,963,many
45,,social,1000,973,10000
46,Summer Promo,radio,500,762,
47,Spring Sale,social,1000,42,many
48,Spring Sale,radio,500,434,1000
49,Spring Sale,,500,174,5000
50,Summer Promo,social,5000,148,1000
51,Summer Promo,tv,unknown,333,5000
52,Summer Promo,email,,810,10000
53,Black Friday,print,unknown,339,10000
54,Summer Promo,print,,375,10000
55,Black Friday,social,500,332,-1
56,,tv,500,246,
57,,email,-999,698,5000
58,Spring Sale,radio,500,694,-1
59,Black Friday,radio,unknown,239,many
60,,email,-999,538,
61,,email,,897,1000
62,,social,-999,678,-1
63,Black Friday,social,5000,966,5000
64,Summer Promo,email,5000,87,5000
65,Black Friday,tv,1000,998,5000
66,Spring Sale,,5000,449,-1
67,Black Friday,print,500,255,1000
68,Spring Sale,email,100,306,many
69,Summer Promo,print,500,102,-1
70,,radio,5000,680,many
71,Spring Sale,radio,100,994,many
72,,print,100,926,1000
73,Summer Promo,,unknown,99,1000
74,,social,5000,626,5000
75,,tv,500,893,
76,Summer Promo,social,1000,427,-1
77,Spring Sale,tv,unknown,56,10000
78,,email,1000,410,-1
79,Summer Promo,print,5000,422,many
80,,tv,-999,520,1000
81,Black Friday,,-999,349,10000
82,Spring Sale,,1000,71,1000
83,Summer Promo,radio,5000,487,-1
84,,,,895,many
85,,tv,5000,815,1000
86,,social,unknown,453,10000
87,Spring Sale,social,,139,many
88,Black Friday,email,unknown,91,-1
89,,,1000,996,5000
90,Spring Sale,social,unknown,221,10000
91,Spring Sale,email,500,751,10000
92,Black Friday,social,,439,5000
93,,tv,,587,-1
94,Black Friday,email,1000,766,1000
95,,radio,1000,159,1000
96,,social,5000,-7,1000
97,Summer Promo,print,,142,10000
98,,print,-999,48,1000
99,Spring Sale,,5000,706,-1
100,Spring Sale,,unknown,659,1000
101,,tv,-999,676,
102,,print,,113,many
103,,,5000,806,5000
104,,print,-999,623,many
105,Black Friday,social,5000,318,-1
106,Black Friday,tv,100,990,5000
107,,print,100,893,many
108,,,,506,many
109,,,1000,102,
110,,radio,1000,639,1000
111,Spring Sale,tv,500,822,
112,,print,1000,587,1000
113,Black Friday,email,,536,1000
114,Summer Promo,tv,unknown,500,10000
115,Black Friday,tv,,322,10000
116,Spring Sale,email,5000,377,
117,,radio,500,851,5000
118,,social,,188,-1
119,Summer Promo,tv,unknown,612,many
120,Black Friday,print,5000,538,
121,,email,unknown,300,1000
122,Spring Sale,,-999,169,many
123,,social,500,794,many
124,,,1000,-8,-1
125,Black Friday,tv,,337,many
126,Spring Sale,print,-999,379,10000
127,,,unknown,657,1000
128,Black Friday,print,,252,many
129,,social,unknown,698,1000
130,,social,,625,-1
131,Spring Sale,social,unknown,327,
132,Black Friday,social,5000,175,1000
133,Summer Promo,tv,-999,813,
134,Black Friday,,,145,-1
135,Spring Sale,tv,,574,-1
136,Spring Sale,radio,-999,632,many
137,Summer Promo,social,unknown,224,-1
138,,email,unknown,492,10000
139,Black Friday,social,,348,many
140,,email,,689,1000
141,,,1000,26,
142,Black Friday,radio,,881,1000
143,Summer Promo,print,1000,319,
144,Spring Sale,,5000,641,5000
145,,print,500,993,1000
146,Summer Promo,social,500,216,-1
147,,,100,597,
148,Black Friday,tv,100,792,-1
149,,radio,5000,471,5000
150,Black Friday,radio,1000,369,1000
151,Black Friday,print,-999,676,5000
152,,,500,34,1000
153,,print,500,575,-1
154,Spring Sale,print,,608,-1
155,,social,1000,57,10000
156,Spring Sale,tv,500,665,many
157,Black Friday,email,5000,563,
158,Summer Promo,,-999,44,-1
159,Summer Promo,print,100,179,-1
160,,radio,,704,1000
161,Black Friday,email,100,703,5000
162,,,500,611,10000
163,Black Friday,social,-999,39,5000
164,Spring Sale,,5000,167,
165,,tv,1000,421,
166,,tv,500,395,1000
167,Spring Sale,,-999,277,1000
168,,social,,942,-1
169,Spring Sale,email,unknown,861,-1
170,Spring Sale,email,,613,10000
171,,email,1000,272,10000
172,,email,-999,812,
173,Spring Sale,tv,-999,588,many
174,,print,-999,185,
175,Summer Promo,tv,unknown,673,5000
176,,radio,5000,422,1000
177,Black Friday,tv,unknown,681,10000
178,,social,-999,350,5000
179,Spring Sale,radio,1000,157,many
180,Spring Sale,radio,500,817,10000
181,Summer Promo,radio,100,207,1000
182,Spring Sale,email,500,248,many
183,Black Friday,social,,717,
184,,radio,,819,many
185,,radio,5000,661,many
186,Black Friday,tv,-999,896,5000
187,Summer Promo,social,,533,10000
188,,,-999,656,10000
189,,social,,677,
190,Summer Promo,print,unknown,127,many
191,,email,100,325,
192,,,500,195,
193,,radio,-999,116,many
194,Spring Sale,email,,926,10000
195,Summer Promo,tv,1000,855,-1
196,Spring Sale,email,-999,449,
197,,radio,500,767,5000
198,Summer Promo,print,1000,769,10000
199,,social,5000,566,1000
200,Summer Promo,social,500,660,-1
201,Summer Promo,social,500,729,10000
202,,radio,,904,
203,,print,100,299,5000
204,,,-999,950,1000
205,,,1000,186,5000
206,,tv,-999,229,10000
207,Spring Sale,email,-999,319,-1
208,Black Friday,print,unknown,726,
209,,,100,864,5000
210,,tv,100,59,5000
211,Black Friday,social,500,621,
212,Black Friday,email,1000,349,10000
213,,,-999,539,10000
214,Summer Promo,,-999,27,5000
215,Spring Sale,print,1000,362,1000
216,,print,5000,421,5000
217,,,500,802,10000
218,Summer Promo,social,500,842,10000
219,Black Friday,,unknown,235,1000
220,Summer Promo,social,500,556,10000
221,Summer Promo,email,500,689,-1
222,Summer Promo,print,500,986,10000
223,Summer Promo,social,5000,354,-1
224,Spring Sale,email,,888,-1
225,,radio,500,599,1000
226,,tv,1000,369,-1
227,Summer Promo,print,1000,925,many
228,Summer Promo,radio,unknown,487,-1
229,,email,100,964,
230,,social,500,751,many
231,,radio,100,263,1000
232,,email,500,847,
233,,tv,1000,910,5000
234,,social,-999,733,many
235,Summer Promo,email,100,902,5000
236,,radio,500,812,
237,,email,100,29,
238,,radio,unknown,364,many
239,,social,unknown,485,1000
240,,print,100,387,10000
241,Black Friday,,1000,488,5000
242,,print,100,727,5000
243,Black Friday,email,-999,86,
244,Spring Sale,tv,unknown,971,
245,,email,1000,658,5000
246,Spring Sale,,unknown,641,many
247,,email,500,59,many
248,,radio,-999,233,5000
249,Black Friday,email,5000,378,many
250,Summer Promo,,,744,10000
251,Black Friday,radio,500,483,
252,,print,100,81,many
253,Spring Sale,email,unknown,504,many
254,Black Friday,print,1000,41,10000
255,Spring Sale,print,,127,1000
256,Summer Promo,,,355,
257,Black Friday,social,500,215,-1
258,Summer Promo,social,100,740,-1
259,Spring Sale,tv,-999,318,-1
260,Summer Promo,print,-999,583,1000
261,Black Friday,email,,350,5000
262,Black Friday,tv,100,880,5000
263,Spring Sale,,unknown,531,-1
264,Summer Promo,social,100,880,many
265,,,1000,597,10000
266,Black Friday,email,500,247,many
267,Spring Sale,email,-999,933,1000
268,Spring Sale,print,unknown,982,-1
269,Spring Sale,email,unknown,34,5000
270,,social,unknown,572,5000
271,Summer Promo,,unknown,453,
272,,,5000,688,many
273,,radio,5000,146,10000
274,Spring Sale,social,unknown,885,many
275,,tv,100,377,
276,Summer Promo,email,500,719,
277,,email,,252,5000
278,,social,1000,938,many
279,,email,1000,720,5000
280,Spring Sale,tv,100,36,many
281,,,500,955,-1
282,Spring Sale,print,1000,317,
283,,,500,866,5000
284,Summer Promo,email,1000,803,1000
285,Spring Sale,,5000,392,
286,Summer Promo,radio,-999,7,
287,,tv,500,993,many
288,Summer Promo,tv,500,-10,
289,Spring Sale,email,5000,524,-1
290,Black Friday,,-999,480,10000
291,Black Friday,print,5000,587,-1
292,,radio,unknown,731,1000
293,,social,1000,807,
294,Black Friday,social,5000,149,-1
295,,social,100,278,many
296,Summer Promo,social,,372,1000
297,Spring Sale,tv,-999,164,-1
298,Black Friday,tv,5000,895,many
299,,tv,,406,5000
300,Summer Promo,print,5000,329,many
301,Summer Promo,email,5000,154,10000
302,,email,500,240,5000
303,Black Friday,social,500,23,5000
304,Summer Promo,social,unknown,370,5000
305,Summer Promo,email,,385,many
306,,print,-999,987,
307,,email,100,252,10000
308,Summer Promo,,500,540,many
309,Spring Sale,print,500,96,5000
310,Spring Sale,,100,64,1000
311,,radio,1000,545,-1
312,Summer Promo,radio,-999,602,5000
313,,,5000,77,10000
314,Black Friday,,5000,186,-1
315,,radio,500,583,
316,,email,5000,715,1000
317,Spring Sale,radio,500,150,
318,Spring Sale,social,unknown,22,many
319,,social,unknown,712,1000
320,,tv,100,326,-1
321,Spring Sale,social,500,411,10000
322,,,500,384,1000
323,Black Friday,tv,500,53,-1
324,Summer Promo,tv,,679,10000
325,Spring Sale,tv,100,-5,5000
326,Summer Promo,tv,,273,many
327,Black Friday,,100,624,-1
328,Spring Sale,radio,100,915,-1
329,Spring Sale,radio,-999,481,-1
330,Spring Sale,tv,100,93,5000
331,,email,,733,
332,,print,unknown,56,1000
333,,email,100,770,-1
334,,tv,unknown,851,5000
335,Spring Sale,,,709,10000
336,,print,unknown,458,10000
337,Spring Sale,radio,1000,557,10000
338,,social,,281,-1
339,Black Friday,tv,500,873,many
340,Black Friday,email,500,829,5000
341,,email,unknown,834,5000
342,Spring Sale,print,,965,5000
343,Summer Promo,email,-999,313,10000
344,,email,unknown,890,10000
345,,email,500,75,5000
346,Summer Promo,tv,unknown,156,-1
347,,email,-999,216,1000
348,Spring Sale,radio,unknown,682,many
349,,radio,100,178,10000
350,,social,5000,199,-1
351,Black Friday,radio,,523,-1
352,Summer Promo,social,100,800,10000
353,,email,unknown,855,
354,Summer Promo,social,500,654,10000
355,,,5000,996,many
356,Summer Promo,social,,682,
357,Summer Promo,email,1000,663,10000
358,,radio,unknown,78,
359,Black Friday,radio,-999,853,5000
360,Summer Promo,social,1000,470,
361,,radio,,45,
362,,email,-999,790,1000
363,Spring Sale,social,-999,998,-1
364,,,,702,1000
365,,,500,383,10000
366,Black Friday,radio,,972,1000
367,Spring Sale,,1000,25,many
368,,email,1000,490,many
369,Spring Sale,radio,100,794,5000
370,Summer Promo,tv,unknown,404,-1
371,,email,,347,many
372,,tv,unknown,775,many
373,,,5000,962,10000
374,Summer Promo,social,-999,102,many
375,Spring Sale,radio,-999,619,1000
376,Spring Sale,tv,unknown,272,5000
377,,email,-999,565,many
378,Summer Promo,print,-999,26,1000
379,Black Friday,tv,500,285,10000
380,Summer Promo,print,1000,697,many
381,Summer Promo,tv,5000,641,1000
382,,email,-999,576,5000
383,,tv,5000,881,10000
384,Summer Promo,email,5000,23,
385,Spring Sale,print,-999,640,
386,Spring Sale,social,5000,407,many
387,Summer Promo,radio,-999,982,-1
388,Spring Sale,,500,653,5000
389,Black Friday,print,5000,386,many
390,,print,100,715,1000
391,,radio,1000,793,1000
392,,social,5000,746,10000
393,Spring Sale,email,100,815,1000
394,,tv,1000,406,10000
395,Spring Sale,,unknown,711,5000
396,Summer Promo,print,500,466,5000
397,,,,757,many
398,Spring Sale,radio,,812,-1
399,,tv,-999,657,
400,Black Friday,radio,unknown,531,-1
401,,social,-999,229,10000
402,,tv,1000,370,1000
403,Spring Sale,email,100,700,-1
404,Spring Sale,tv,500,82,5000
405,Summer Promo,radio,-999,5,5000
